City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Bertoua,CM,75.47,light rain,4.5833,13.6833,Hotel De Paris
26,Rikitea,PF,72.82,clear sky,-23.1203,-134.9692,People ThankYou
57,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
97,Nzerekore,GN,77.31,light rain,7.7562,-8.8179,Hotel de la Gare & Germanho Club
100,Ahuimanu,US,78.51,few clouds,21.4447,-157.8378,Paradise Bay Resort
124,Inhambane,MZ,74.26,clear sky,-23.865,35.3833,Oceano
136,Bengkulu,ID,75.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
155,Show Low,US,73.65,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
169,Pangai,TO,75.81,light rain,-19.8,-174.35,Ha'apai Beach Resort
234,Dongzhen,CN,77.04,overcast clouds,22.3797,110.9389,茂名中汇时尚酒店
344,Pyu,MM,74.35,broken clouds,18.4833,96.4333,Mr Bo Bo
360,Romitan,UZ,76.95,clear sky,39.9343,64.3814,Hotel Temur
378,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
400,Kihei,US,78.82,few clouds,20.785,-156.4656,Maui Sunset
433,Mitsamiouli,KM,75.85,clear sky,-11.3847,43.2844,Foyer ADM
437,Mayumba,GA,76.15,overcast clouds,-3.432,10.6554,LIKWALE LODGE
459,Kendari,ID,74.32,clear sky,-3.945,122.4989,Hotel Wixel
462,Benguela,AO,73.02,few clouds,-12.5763,13.4055,Hotel Praia Morena
473,Vanimo,PG,76.59,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
525,Indi,IN,75.83,overcast clouds,17.1667,75.9667,Shree Gurubhojanalaya
526,Maitum,PH,78.37,overcast clouds,6.0392,124.4986,Pearl Garden
528,Sarh,TD,73.31,moderate rain,9.1429,18.3923,Domicile 1sur le goudron
545,Dossor,KZ,75.51,clear sky,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
