City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,72.28,77,20,8.05,few clouds
1,Albany,US,42.6001,-73.9662,69.03,84,98,1.99,overcast clouds
2,Provideniya,RU,64.3833,-173.3,37.38,78,31,0.92,scattered clouds
3,Saldanha,ZA,-33.0117,17.9442,62.65,78,0,12.53,clear sky
4,Turukhansk,RU,65.8167,87.9833,31.73,65,83,3.89,broken clouds
5,Hanko,FI,59.8333,22.95,51.06,69,100,15.35,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,50.11,43,75,11.5,broken clouds
7,Busselton,AU,-33.65,115.3333,57.15,75,3,14.34,clear sky
8,Charters Towers,AU,-20.1,146.2667,66.16,97,8,12.55,clear sky
9,Dharur,IN,18.8167,76.1167,71.47,86,100,10.13,overcast clouds
10,San Ramon,US,37.7799,-121.978,65.55,83,0,0,clear sky
11,Georgetown,MY,5.4112,100.3354,82.33,89,20,0,few clouds
12,Usinsk,RU,65.9939,57.5281,50.27,82,96,15.79,overcast clouds
13,Bertoua,CM,4.5833,13.6833,75.47,93,42,2.46,light rain
14,Atuona,PF,-9.8,-139.0333,76.73,77,32,22.84,scattered clouds
15,Chimbote,PE,-9.0853,-78.5783,65.39,77,86,11.43,overcast clouds
16,Barrow,US,71.2906,-156.7887,30.22,93,40,6.91,scattered clouds
17,Vaini,TO,-21.2,-175.2,73.56,88,75,21.39,broken clouds
18,Dingle,PH,10.9995,122.6711,76.68,88,100,2.51,light rain
19,Bluff,NZ,-46.6,168.3333,46.8,85,84,4.41,broken clouds
20,Vao,NC,-22.6667,167.4833,73.9,80,0,10,clear sky
21,Turayf,SA,31.6725,38.6637,80.85,41,0,9.22,clear sky
22,Coquimbo,CL,-29.9533,-71.3436,58.73,58,40,11.5,scattered clouds
23,Yellowknife,CA,62.456,-114.3525,42.57,100,6,2.71,clear sky
24,Castro,BR,-24.7911,-50.0119,70.47,65,87,2.42,overcast clouds
25,Sulangan,PH,11.1373,123.7228,84.16,71,100,5.44,overcast clouds
26,Rikitea,PF,-23.1203,-134.9692,72.82,73,0,14.41,clear sky
27,Puerto Colombia,CO,10.9878,-74.9547,83.5,66,27,7.76,scattered clouds
28,Chokurdakh,RU,70.6333,147.9167,32.5,80,100,13.71,overcast clouds
29,Gat,IL,31.61,34.7642,79.48,100,18,10.4,few clouds
30,Aklavik,CA,68.2191,-135.0107,44.6,76,100,8.05,shower rain
31,Muhos,FI,64.808,25.9931,46.18,67,98,8.32,overcast clouds
32,Kahului,US,20.8947,-156.47,78.84,70,20,12.66,few clouds
33,Pueblo Nuevo,MX,23.3833,-105.3833,68.34,57,6,0.78,clear sky
34,Salalah,OM,17.0151,54.0924,80.69,89,75,10.36,broken clouds
35,Bilibino,RU,68.0546,166.4372,29.59,74,97,5.55,overcast clouds
